diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1383,Del Caño,Nicolás,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,PTS - FRENTE DE IZQUIERDA,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN2372,del Cerro,Gonzalo Pedro Antonio,M,SANTA FE,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,UCR,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN2373,Del Plá,Romina,F,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,2017-12-10T00:00:00,2021-12-09T00:00:00
HCDN2374,Delú,Melina Aida,F,LA PAMPA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,JUSTICIALISTA,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN2374,Delú,Melina Aida,F,LA PAMPA,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-06T00:00:00,2021-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2021-12-09T00:00:00
HCDN0875,DEPETRI,EDGARDO FERNANDO,M,BUENOS AIRES,2009-12-10T00:00:00,2013-12-09T00:00:00,2010-11-03T00:00:00,2013-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2010-11-03T00:00:00,2013-12-09T00:00:00
HCDN0875,DEPETRI,EDGARDO FERNANDO,M,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2013-12-10T00:00:00,2017-12-09T00:00:00
HCDN2438,DERNA,VERONICA,F,MISIONES,2015-12-10T00:00:00,2019-12-09T00:00:00,2017-12-18T00:00:00,2019-12-09T00:00:00,FRENTE DE LA CONCORDIA MISIONERO,2017-12-18T00:00:00,2019-12-09T00:00:00
HCDN2813,DI GIACOMO,LUIS,M,RIO NEGRO,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,JUNTOS SOMOS RIO NEGRO,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN1481,DI STEFANO,DANIEL,M,MISIONES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2015-12-10T00:00:00,2017-12-06T00:00:00
HCDN1481,DI STEFANO,DANIEL,M,MISIONES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,FRENTE DE LA CONCORDIA MISIONERO,2017-12-07T00:00:00,2019-12-09T00:00:00
HCDN0876,DI TULLIO,JULIANA,F,BUENOS AIRES,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN0876,DI TULLIO,JULIANA,F,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2013-12-10T00:00:00,2017-12-09T00:00:00
HCDN0739,DIAZ,SUSANA ELADIA,F,TUCUMAN,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-10-26T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-10-26T00:00:00
HCDN0412,DIAZ BANCALARI,JOSE MARIA,M,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-12-09T00:00:00
HCDN0412,DIAZ BANCALARI,JOSE MARIA,M,BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN0877,DIAZ ROIG,JUAN CARLOS,M,FORMOSA,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN0877,DIAZ ROIG,JUAN CARLOS,M,FORMOSA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2013-12-10T00:00:00,2017-12-09T00:00:00
HCDN1519,DINDART,JULIAN,M,CORRIENTES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,UCR,2015-12-10T00:00:00,2019-12-09T00:00:00
HCDN1118,DOMINGUEZ,JULIAN ANDRES,M,BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
